Dataset,Accuracy_Base Model,Accuracy_Platt Scaling,Accuracy_Isotonic Regression,Accuracy_Beta Calibration,Accuracy_BBQ,Accuracy_Venn-Abers
3,0.9925848493740219,0.9925848493740219,0.9925848493740219,0.9925848493740219,0.9925848493740219,0.9925848493740219
15,0.9391973278520043,0.9391973278520043,0.9391973278520043,0.9391973278520043,0.9391973278520043,0.9391973278520043
29,0.8085507246376813,0.8085507246376813,0.8085507246376813,0.8085507246376813,0.8085507246376813,0.7984057971014493
31,0.6776000000000001,0.6922,0.6914999999999999,0.6922,0.6922,0.6900999999999999
37,0.698961038961039,0.69583736524913,0.69583736524913,0.69583736524913,0.69583736524913,0.6800662083015024
38,0.986717339750909,0.986717339750909,0.986717339750909,0.986717339750909,0.986717339750909,0.986717339750909
44,0.912889604871831,0.9128678657413962,0.9128895812679978,0.9128895812679978,0.912889604871831,0.9128026247462587
316,0.9723611895351028,0.9859333025340931,0.9859333025340931,0.9859333025340931,0.9859333025340931,0.9859333025340931
953,0.9417241379310345,0.9416614420062696,0.941692789968652,0.941692789968652,0.9417241379310345,0.9416300940438872
958,0.9912987012987015,0.9912987012987015,0.9912987012987015,0.9912987012987015,0.9912987012987015,0.9912987012987015
962,0.9944500000000001,0.9944500000000001,0.9944500000000001,0.9944500000000001,0.9944500000000001,0.9944500000000001
978,0.9881,0.9881,0.9881,0.9881,0.9881,0.9881
1067,0.8155990588871002,0.8454244576780628,0.8454244576780628,0.8454244576780628,0.8454244576780628,0.8434798662629039
1462,0.9836005308560053,0.9836005308560053,0.9836005308560053,0.9836005308560053,0.9836005308560053,0.9836005308560053
1464,0.708274720357942,0.7596313199105147,0.7581637583892618,0.7556313199105147,0.7593637583892618,0.7513485458612976
1487,0.9146423587560711,0.9363853092281187,0.9363853092281187,0.9363853092281187,0.9363853092281187,0.934687575523696
1494,0.8054028436018956,0.8054028436018956,0.8054028436018956,0.8054028436018956,0.8054028436018956,0.8025592417061611
1510,0.927433628318584,0.927433628318584,0.927433628318584,0.927433628318584,0.927433628318584,0.927433628318584
4134,0.7159422281402575,0.7159422281402575,0.7159422281402575,0.7159422281402575,0.7159422281402575,0.7159422281402575
40701,0.91646,0.91646,0.91646,0.91646,0.91646,0.91646
