Dataset,ECE_Base Model,ECE_Platt Scaling,ECE_Isotonic Regression,ECE_Beta Calibration,ECE_BBQ,ECE_Venn-Abers,Log Loss_Base Model,Log Loss_Platt Scaling,Log Loss_Isotonic Regression,Log Loss_Beta Calibration,Log Loss_BBQ,Log Loss_Venn-Abers
310,0.0019005060930287654,0.015281970067032226,0.01307291864423618,0.0025985155583456076,0.023729000848251913,0.029967658913275626,0.045472209663189614,0.05292092813020556,0.06858341210740614,0.04502369623557463,0.056382241670469485,0.050945130788517944
725,0.02667786836428564,0.05818300211530665,0.017240877646593374,0.013430522449838576,0.035682965418274384,0.04755490577849568,0.14166407625307822,0.16879230919723598,0.16597029776562044,0.13913601450634216,0.15886579147551472,0.15498724166759753
761,0.018170799369187293,0.04680466200146353,0.02096803259765547,0.011085899175054634,0.037942217219034825,0.044141887724716604,0.1503916334404095,0.17406688923360417,0.1810484107766699,0.1490707234752654,0.1689813245975122,0.16545938992490222
803,0.00823140040437225,0.032180774135063844,0.015782862687889313,0.008783924395108077,0.02658403603795979,0.05120459138174463,0.17636062045857123,0.18417159064385927,0.20744159249929364,0.17495735755724984,0.18667652162968132,0.1952329383413369
807,0.026643819278725472,0.04405103390038971,0.025032509563342163,0.015878560607554586,0.03599917096718862,0.053856341575371974,0.3598790917890647,0.3663362123938166,0.3852063576723521,0.35645316287319767,0.3638001638603638,0.3841098005361441
819,0.016455496795121597,0.041932011807563535,0.019035804484857137,0.010487216530758887,0.035311409508995466,0.050129612122246654,0.3010140091705087,0.31018374764891865,0.324194026322357,0.2988955738807571,0.3101867844949603,0.3227018472477486
833,0.04030910180591223,0.06008809388105714,0.025018060934591232,0.01249554449554678,0.03897476482845166,0.053138563601422294,0.4004149201730634,0.41349023333452783,0.4273042714200348,0.39373408523256015,0.4080729736094045,0.4204235365812088
847,0.028140839252353906,0.054561059503101264,0.020579247675600657,0.012798670576946001,0.040191621943937814,0.06160680148229589,0.3198127419262876,0.33308442421168655,0.3604042776742999,0.3147809218694286,0.3307607804663039,0.34463986020412996
923,0.002808080844663534,0.0013126468128148584,0.001232553853922847,0.0016215983707422812,0.00014912765492568263,0.0060096439346580014,0.0011901769041996076,0.0018580581326535588,0.0015499226273277288,0.0006678131766660413,0.0024625990671237274,0.007790784840535415
959,0.0002813437037903398,0.0006810650517773982,5.223221572552565e-08,1.0279192774774516e-05,0.0,0.002735134699079754,0.0002657350185446989,0.0006424621257107146,3.107883497523059e-08,1.0117661540014186e-05,2.220446049250313e-16,0.002572611980809249
1019,0.0004487719232756059,0.0009527933857517949,0.008695920029324523,0.0010905006064780458,0.016898095402810315,0.02388855917086667,0.012553986328934043,0.016288714920011726,0.0332714348659479,0.013164471510204312,0.020647468386692684,0.018558284318797535
1046,0.008503795501532116,0.027197641482564257,0.014664643935675032,0.008371321429106546,0.027095671495086484,0.03623254316942736,0.16127414855858974,0.17105957299215718,0.17848678211149427,0.16124357633613684,0.17035137026016853,0.1720270052676665
1053,0.024407394691596866,0.03756297597719989,0.026639141413516098,0.0159028359686615,0.037512999006543694,0.04650179991736204,0.43746138839257,0.4408506681747447,0.46095258363518693,0.4349302229916519,0.4409801282585547,0.45364531142501635
1471,0.07719354025550214,0.025672379011191116,0.02073562830966608,0.006621102667918072,0.02700338539428605,0.03997031314586055,0.2845688159083556,0.2571361087473969,0.27139996806746347,0.2517624275730266,0.25673915027994737,0.2679546210692705
1489,0.011148579329230386,0.04012592415734271,0.028186408793017884,0.015199347968852353,0.03963372674434812,0.06063727390100227,0.27644692910315066,0.2912702910666939,0.3196257163330962,0.27720089299479844,0.2919737957878418,0.3076293679575113
4154,8.664419684487492e-05,0.0005414687498777715,0.0028687127154436477,0.000153378843556296,0.0019490686938783426,0.008995713991322467,0.004569039288837703,0.005647305435827926,0.014841518122396171,0.005979927336943505,0.008462294122727669,0.007771928171204284
4534,0.013084934936546595,0.026216945651026533,0.02051768144894715,0.010107913392884754,0.029832099905024424,0.03777641413977382,0.09671137679324365,0.10730840403031258,0.11294297172478089,0.09483358195714293,0.10250100219505741,0.10403170817119896
45036,0.02705044993906594,0.016383176355412893,0.023949201346427227,0.012002421729816897,0.032494700204000866,0.04186305732010878,0.5715182040331591,0.5686897023947072,0.587524284681572,0.5684280067713618,0.5710133754930272,0.5896383082154754
46281,0.03181908545982815,0.026390410317119053,0.013230106481381428,0.007702843706193416,0.029765002622324396,0.027770396457308482,0.21184257161274048,0.2137639197500524,0.22718273423209442,0.2060172986780211,0.21979568784467088,0.21769666641076885
46298,0.03784662008655659,0.03549743886516308,0.021300860633474535,0.007896389054883485,0.02360658597091635,0.04467413393815928,0.1619528770885327,0.16481828452303943,0.18200783222307426,0.15148196705120662,0.15829968708651043,0.1683026116469049
