Dataset,Accuracy_Base Model,Accuracy_Platt Scaling,Accuracy_Isotonic Regression,Accuracy_Beta Calibration,Accuracy_BBQ,Accuracy_Venn-Abers
310,0.9837789638083845,0.9847894413598586,0.9849146329858144,0.9846105704755682,0.9845122244764624,0.9838773537904953
725,0.9200435731308215,0.9200558278410628,0.920836933387269,0.9163688883823113,0.9193112927341115,0.919030715742125
761,0.906798741899413,0.9077509738583563,0.908874317330693,0.9075925863845328,0.9071895293371803,0.907714559862211
803,0.9265251248738958,0.9269457936566522,0.9278296203341454,0.9118384094879556,0.9261602913314141,0.9252064171649319
807,0.7626838932879201,0.7625741745204832,0.7608772137631199,0.7476445552955621,0.7586555726153043,0.7562748660735238
819,0.844152653704677,0.8446781066604255,0.8455608625478568,0.8261740749899541,0.8441948085066923,0.8422401769430843
833,0.7426030941467183,0.7519170613130345,0.7542238522104294,0.7552123715210964,0.7524414958643147,0.7534662578286739
847,0.8080777239555301,0.8081233860559867,0.8090057236777379,0.8031794017049501,0.8093550821512694,0.8090358178377346
923,0.9998611311933681,0.9998611311933681,0.9998611311933681,0.9998611311933681,0.9998611311933681,0.9998611311933681
959,1.0,1.0,1.0,1.0,1.0,1.0
1019,0.9867996123641279,0.9864447856809759,0.9866995379238063,0.9854167933890042,0.9865448021910862,0.9860990788682588
1046,0.929591508523641,0.9329302026375039,0.9426246381473143,0.9430234802187197,0.942811193309746,0.9424059183017047
1053,0.7646118511713367,0.8062195682131373,0.805319246669729,0.8053743683968765,0.8060633899862195,0.8030408819476343
1471,0.8144859813084113,0.8145794392523367,0.8151735647530041,0.8047797062750335,0.8153805073431241,0.812630173564753
1489,0.8432830883612568,0.8423572823517321,0.8429131976564908,0.8367873368280401,0.8431721314283755,0.8383786788638777
4154,0.9987429775280898,0.9987710674157304,0.9987851123595506,0.9987710674157304,0.9987640449438203,0.9981882022471908
4534,0.9433016734509272,0.9438805970149253,0.9438896426956128,0.9345906829488918,0.9437087290818635,0.9402351876978743
41526,0.7398986119542991,0.7407605592724784,0.7500742290559821,0.7511548176179724,0.7496176891278199,0.7494761521110271
45023,0.63388,0.63402,0.6347499999999999,0.6288800000000001,0.6327,0.6348600000000001
45036,0.6352470960224911,0.6355936148683649,0.6353073199392028,0.6271549038724904,0.6354052625678185,0.638667827548085
46281,0.9124005482916415,0.9403380440809898,0.9402362162694403,0.9402158496706623,0.9403380440809898,0.9401141047765634
46298,0.8541899999999998,0.85456,0.85425,0.84616,0.8537100000000001,0.8515600000000001
PROMEDIO,0.853347,0.857381,0.859075,0.853176,0.856422,0.855274
