Dataset,Accuracy_Base Model,Accuracy_Platt Scaling,Accuracy_Isotonic Regression,Accuracy_Beta Calibration,Accuracy_BBQ,Accuracy_Venn-Abers
3,0.935481807511737,0.935481807511737,0.935481807511737,0.8888943172926446,0.935481807511737,0.9286300860719874
15,0.9649475847893113,0.9653761562178828,0.9669516957862281,0.9666659815005139,0.9663802672147994,0.9638067831449126
29,0.6604347826086956,0.659855072463768,0.658550724637681,0.6589855072463767,0.6459420289855072,0.6226086956521739
31,0.6314,0.6995000000000001,0.6984,0.6984,0.7000000000000002,0.6975000000000001
37,0.7009158815041168,0.7018334606569901,0.7003980986333928,0.6971411594941007,0.6966386554621847,0.6721305491893727
38,0.9289776731603632,0.9380966149630229,0.9383350606917631,0.9381494545646178,0.9381228591002513,0.9380699141005147
44,0.7935033045366566,0.7935033045366566,0.7935033045366566,0.7647896898456308,0.7935033045366566,0.769355261294434
316,0.9825819174238147,0.9857262631966189,0.9856851119894599,0.9856851119894599,0.9856851119894599,0.9859333025340931
953,0.7921316614420063,0.8421316614420062,0.8421316614420062,0.8421316614420062,0.8421316614420062,0.8264263322884012
958,0.9858441558441556,0.9854112554112553,0.9856709956709955,0.9853679653679653,0.9858008658008657,0.9846753246753245
962,0.95955,0.958,0.9564,0.9525500000000001,0.9575,0.95265
978,0.98635,0.98615,0.9859499999999999,0.9805499999999999,0.9859499999999999,0.9825
1067,0.8242728326822842,0.8427693035089101,0.8442392858348999,0.8444288592946155,0.8440497123751843,0.8434809919960373
1462,0.9995625746516258,0.9995625746516258,0.9996353019243531,0.9996353019243531,0.9995625746516258,0.9996353019243531
1464,0.7366120805369127,0.7663158836689038,0.7623069351230426,0.76537807606264,0.7599006711409396,0.7579087248322147
1487,0.9278219550794802,0.9363064917245519,0.9367403388139175,0.9364248349198181,0.936227596261041,0.9360697273740751
1494,0.8099526066350713,0.8061611374407585,0.8078672985781992,0.7944075829383884,0.8076777251184835,0.7765876777251184
1510,0.9274181027790717,0.9274181027790717,0.9182921906536252,0.903698183511877,0.9196956994255551,0.9086290948610466
4134,0.7340959786950734,0.7340959786950734,0.7340959786950734,0.6929619174434087,0.7340959786950734,0.6961890102086108
40701,0.8505400000000001,0.8606999999999999,0.8600399999999999,0.8611999999999999,0.8589,0.85832
