Dataset,Accuracy_Base Model,Accuracy_Platt Scaling,Accuracy_Isotonic Regression,Accuracy_Beta Calibration,Accuracy_BBQ,Accuracy_Venn-Abers
310,0.9855226620433865,0.9852186795022405,0.9850219155318385,0.9845838128147285,0.9850487491633234,0.984431827541838
725,0.9248288102650519,0.9248288102650519,0.9248288102650519,0.9122553732620847,0.9248288102650519,0.9175165699326775
761,0.7759767004062306,0.7759767004062306,0.7747314579529343,0.761951076514835,0.7747314579529343,0.751477687115271
803,0.9351099628454024,0.9351099628454024,0.9351099628454024,0.9080522723358186,0.9351099628454024,0.9291906596786497
807,0.8284793804256891,0.8284793804256891,0.8284793804256891,0.7947749342380213,0.8284793804256891,0.802552473626299
819,0.840033726049537,0.840033726049537,0.840033726049537,0.7988651156731743,0.840033726049537,0.8308920733295945
833,0.7685058342105322,0.7685058342105322,0.7683226914770539,0.7501216605914591,0.7683226914770539,0.7395638887585194
847,0.8252207696002685,0.8252207696002685,0.8252207696002685,0.794494088233762,0.8252207696002685,0.8010181085820443
923,0.9696677323651008,0.9696677323651008,0.9696677323651008,0.9626198040507252,0.9696677323651008,0.9631517830366514
959,0.9945370370370371,0.9945370370370371,0.9945370370370371,0.9945370370370371,0.9945370370370371,0.9945370370370371
1019,0.9980076558912334,0.9979985608480321,0.9979712591669386,0.9978711888644892,0.9979621682616094,0.9978257095106098
1046,0.920649726600193,0.920649726600193,0.9202830492119654,0.9168156963653908,0.9202830492119654,0.9187069797362496
1053,0.7742305925585669,0.8065043638033993,0.806293063849334,0.806293063849334,0.8063022508038586,0.8063665594855306
1471,0.9607943925233644,0.9607943925233644,0.9607943925233644,0.9479372496662216,0.9607943925233644,0.9585046728971963
1489,0.8688746188371536,0.8688746188371536,0.8688746188371536,0.8427096823928463,0.8688746188371536,0.8537751224860384
4154,0.9982233146067415,0.9983707865168537,0.9983707865168537,0.9983707865168537,0.9983707865168537,0.998384831460674
4534,0.9526910900045228,0.9526910900045228,0.9526910900045228,0.9388240615106287,0.9526910900045228,0.9450113071008595
41526,0.7653565574067197,0.7653565574067197,0.7653565574067197,0.7415453609942714,0.7653565574067197,0.7271760028710339
45023,0.63826,0.63826,0.63826,0.60131,0.63826,0.58747
45036,0.5791061553679412,0.5791061553679412,0.5780963588344069,0.5479812385668081,0.5780963588344069,0.5321656909869904
46281,0.9284262008778886,0.9403380440809898,0.9403176774822117,0.9402667765322887,0.9403278607816007,0.9403380440809898
46298,0.77091,0.77091,0.7700199999999999,0.73869,0.7700199999999999,0.7457499999999999
PROMEDIO,0.8652,0.8661,0.8659,0.8554,0.8659,0.8571
