Dataset,ECE_Base Model,ECE_Platt Scaling,ECE_Isotonic Regression,ECE_Beta Calibration,ECE_BBQ,ECE_Venn-Abers,Log Loss_Base Model,Log Loss_Platt Scaling,Log Loss_Isotonic Regression,Log Loss_Beta Calibration,Log Loss_BBQ,Log Loss_Venn-Abers
3,0.01448998960773681,0.02118469401401889,0.012998994920513079,0.022608043674577714,0.01874382540437701,0.02360493342382522,0.1646731609986621,0.05482645332152316,0.08755310701454835,0.06833067052686605,0.06943741544772437,0.06178818497129967
15,0.05252773422355778,0.05367915338074868,0.03205350807643433,0.05366646936555668,0.05303420129529846,0.058367884889320674,1.0126368110597597,0.1930073049514659,0.346060638019391,0.25686138728784236,0.2307803862906822,0.2059531934639901
29,0.13146573143904436,0.102165273762851,0.06097868381184288,0.12662522885260963,0.10052751153283909,0.08525172468410744,3.0672419413713485,0.4254429890007914,0.42396488203856386,0.4385489927511448,0.4376556878995266,0.4363927934898934
31,0.23782597209912243,0.04998218757833185,0.029549981617466997,0.05127650792554388,0.06019608880735611,0.06144236352387966,5.256237278862714,0.5746601781200834,0.5748104598774012,0.5746133820925261,0.582691756557427,0.5938682506928417
37,0.22396542949419945,0.08855961892006002,0.04118379595215692,0.09456949060236805,0.0886588576293292,0.06653955395757273,5.28902078353207,0.5708741045991867,0.5705784297167993,0.5724658358360781,0.5799191269936655,0.5850133660362625
38,0.02846183105640556,0.02863673695857055,0.019561535954332628,0.022966579864649016,0.029781589566642373,0.02261882073845677,0.28304488743420814,0.060499776375498984,0.07035700180526998,0.06132307374075234,0.06483629102926317,0.06363053838143846
44,0.07831897605989341,0.06183369825696127,0.025721784125266125,0.07265002284563861,0.05584666659180879,0.041117939195734615,1.7851827745002624,0.26467183770049035,0.2609437124870622,0.26578043579369,0.26481583811751225,0.2659613465692069
316,0.07878455697522734,0.005711335844624407,0.007066244023466617,0.006929950475999735,0.0037647807859022223,0.015815581333388767,0.5737671953366013,0.07557241326524276,0.07594201014031783,0.0784854873492775,0.0743199390354853,0.07727886212429533
953,0.0718222250006181,0.07259689795411485,0.02518982577869255,0.07391568669506059,0.05566549823301194,0.03554454788310638,1.0288186870136635,0.17342773794314317,0.17331864196853417,0.17869380916819605,0.17084193253226324,0.1700419198332749
958,0.022596119976118673,0.02048665506917446,0.015589929781124268,0.02289944494134418,0.019953536814451386,0.02146351021782838,0.21537147407704427,0.04302621720436248,0.08386531803184828,0.06320312636310944,0.07610012957435108,0.05398324292577914
962,0.017735336092934127,0.01869622021056189,0.01566787133149394,0.024001945695231966,0.016891834958639728,0.029794775261326092,0.10660707102019393,0.02875835128122899,0.12612585840732518,0.08746915803996458,0.07179850261219234,0.04577422121689558
978,0.02210191366075156,0.022479013488750227,0.020686581228564163,0.02728874140232183,0.021886633191993275,0.026979931231905962,0.2708416577586923,0.05425112171742412,0.13144532031010825,0.09495357484402017,0.10340632199999263,0.06508148937061893
1067,0.18409131393212888,0.04628046036378997,0.025184898719969425,0.06911967951779423,0.05067671157611788,0.04361260848841811,3.4041565979295325,0.39645292181943015,0.3960290417630716,0.40593472069005637,0.40246324053976273,0.4040057519803032
1462,0.021596986666579863,0.02237346992113255,0.023883775358433345,0.030905159350322228,0.029811789757261696,0.030509878714130582,0.48638115038229884,0.09152639964424145,0.18704282322546234,0.15115316552399727,0.15327373502407549,0.10973297546046651
1464,0.16414596986886573,0.07043503385363617,0.045496119333540495,0.09309342814711095,0.06931726921296388,0.07361212195356275,2.816829356780669,0.5192421837493765,0.5920237874410668,0.5658688538820303,0.5270422533577597,0.5386332009685776
1487,0.1375975844773366,0.03545607313302445,0.021266543751536388,0.030905471115094868,0.03952043273230252,0.04035742329334359,1.9217244210560127,0.20860721533058013,0.20712577665898366,0.20634406807716982,0.2117092289866135,0.2144930983893936
1494,0.14505298185337878,0.061686431604382384,0.03036261173979243,0.06470302959489084,0.07327069734713078,0.07868918628921003,3.799261229630037,0.44596155119134073,0.4427705859223446,0.44719104846165203,0.45396731719810896,0.46587496697170644
1510,0.05784899509997153,0.05185257267010223,0.039121752291542064,0.059822968080986555,0.058269779633013184,0.07392931217722098,1.4921709900955964,0.2259502257487675,0.29242423948734575,0.2876676461817548,0.2786503744213647,0.2547562000858012
4134,0.23832431674977614,0.06123185544820159,0.020827903618616844,0.05766278514485482,0.0637733343259943,0.045744939302643076,7.133656606810442,0.583410560584596,0.580627202997661,0.5826856202855623,0.5857242909487917,0.5860563864063743
40701,0.096578232764105,0.05846116220142302,0.016446406001117672,0.05657673139183947,0.040104856532939416,0.029196889689086007,1.5071692715914968,0.21993405767729637,0.21467204334481457,0.22067810682615135,0.21852151401890665,0.21822719775386443
PROMEDIO,0.09267671,0.04348142,0.02377447,0.04732694,0.04274721,0.04188444,1.65138166,0.23999068,0.28552323,0.27807607,0.23424849,0.23707582
